"Par Dungi Fera Mat Dole Chhinar ","Manish Mastana ","Pintu Saini","Pintu Saini","Pintu Saini","Hitesh Music Rasiya",i_am_pintu_saini_suroth,2024-12-06,hindi,pop,bollywood_pop,happy,Yes,Yes,Yes,Yes,"(Par Dungi Fera Mat Dole Chhinar : 0:40)",INF512311136,01JEDP7C60WDSKNTF9DMT2JM8Q.jpg,01JEDP7C8H91HE293P23JBPVDM.mp3
"Raja Na Mile Moy Man Ke Se ","Manish Mastana ","Pintu Saini","Pintu Saini","Pintu Saini","Hitesh Music Rasiya",i_am_pintu_saini_suroth,2024-12-06,hindi,pop,bollywood_pop,happy,Yes,Yes,Yes,Yes,"(Raja Na Mile Moy Man Ke Se : 0:40)",INF512311137,01JEDPDZ0X3KSFF21T1CYSS050.jpg,01JEDPDZ9SDPS1NVKH6W908934.mp3
"Sadi Ko Pallu Latke Ho Lele Aadhar Hathan Me ","Manish Mastana ","Pintu Saini","Pintu Saini","Pintu Saini","Hitesh Music Rasiya",i_am_pintu_saini_suroth,2024-12-06,hindi,pop,bollywood_pop,happy,Yes,Yes,Yes,Yes,"(Sadi Ko Pallu Latke Ho : 0:40)",INF512311138,01JEDPS1AKGGQVASZTCSS0RR3H.jpg,01JEDPS1B1DQYMC4K1NFJ5WNW7.mp3
"Nachbo Kaha Se Sikhi Kaniya Ko Gajab Balance ","Manish Mastana ","Pintu Saini","Pintu Saini","Pintu Saini","Hitesh Music Rasiya",i_am_pintu_saini_suroth,2024-12-06,hindi,pop,bollywood_pop,happy,Yes,Yes,Yes,Yes,"(Nachbo Kaha Se Sikhi Kaniya Ko Gajab Balance : 0:40)",INF512311139,01JEDQ26B393R2Y9DAAHGHRK3T.jpg,01JEDQ26EJYQJNGXK9C539Y47Y.mp3
"Bolo Tara Tara ","Sachin gurjar thana",Promod,"Rahul marshal","Rahul marshal","[Marshal Music Company] Karishma Music HD",https://www.instagram.com/singer_sachin_gurjar_official?igsh=azZlMjV5cjN1bDhv,2024-12-13,rajasthani,pop,pop_rock,happy,Yes,Yes,Yes,No,No,,01JEFV6FJX5YFNR3V83NX3T4M2.jpg,01JEZV88JAV0ZJYPYKEFRRYEF6.wav
"Mahari Fuljhadi Patakha Fode Nayi Saal Ke Maya ","Pintu Saini ","Pintu Saini","Pintu Saini","Pintu Saini","Hitesh Music Rasiya",i_am_pintu_saini_suroth,2024-12-07,hindi,pop,bollywood_pop,happy,Yes,Yes,Yes,Yes,"(Mahari Fuljhadi Patakha Fode Nayi Saal Ke Maya : 0:20)",INF512311140,01JEG9XJ7VKJ8N8Y92P7HB6ASX.jpg,01JEG9XJF8B7J6PXHK2A34AVVF.mp3
"Hotan Pe Lipstick Gahri","Bhupesh Kumar ","Mithun Gurjar Bhavli","Rahul Marshal","Rahul Marshal","Abdul Kalam",Singer_bhupesh_kumar_rj_34,2024-12-08,rajasthani,dance,dance_pop,happy,Yes,Yes,Yes,No,No,INF512311141,01JEKGSYS0TRCSPN8A9YRFH5TK.jpg,01JEKGSYTS1T0SE0YD04547Q52.wav
"Dhamak Dj Ki Ud Rahi","Bhupesh Kumar ","Pramod Khatnawaliya","Rahul Marshal","Rahul Marshal","Abdul Kalam",Singer_bhupesh_kumar_rj_34,2024-12-08,rajasthani,dance,dance_pop,happy,Yes,Yes,Yes,No,No,INF512311142,01JEKH0Z6AASGDZY9PQE00BDHT.jpg,01JEKH0Z7HCVWXKD892GF2Y7TG.wav
Sabar,"Monty Mint","Monty mint","Anuj goyal","Anuj goyal","Brodhaa Cult Records",https://www.instagram.com/montymint02?igsh=MW1xbTc1OHJjd2x5dw==,2024-12-09,hindi,hip_hop,bollywood_hiphop,happy,Yes,Yes,Yes,Yes,"(Monty 1 : 0:18), ( : 1:00), ( : 1:26)",INF512311143,01JEN6VZGV1VNF3JWF0YKP3Z3F.jpg,01JEN6VZHXY62R9Q700XTN1VMV.wav
"Aaja Baith Plus Gaadi P","Dk Mahar ","Dk mahar","Dk mahar","Dk mahar","Ashok Ladli Ka Bas",https://www.instagram.com/singer_dk_mahar?igsh=M2NsaGx6dTVzeGc0,2024-12-10,rajasthani,world,bollywood_pop,romantic,Yes,Yes,No,No,No,INF512311144,01JEQBBK28DQK2DK86TZ4KS8SK.jpeg,01JEQBBK7NGH3J60ZG1809CEDG.mp3
