"Album Title","Song title","Primary artist",Featuring,Authors,Composer,Producer,"Singer Instagram Handle","Label Name","Lyrics Languages","Music Genre","Music Sub-Genre","Music Mood","Release date","All Music Streaming Store","YouTube Music","YouTube Content ID",Explicit,"Caller Tune","Caller Tune Name","Caller Tune Duration","Ask to generate an ISRC","ISRC Code",UPC/EAN,"Catalogue number","Upload Cover","Upload Song",Status
"Teri Hohabbat Ki Esitesi Gangstar Song ","Teri mohabbat ki esitesi gangstar song ","Singer Sonu Dholpur ","Dalveer Kushawah, Singer Sonu Dholpur ","Sonu Dholpur","Sonu Dholpur","Sonu Dholpur",https://www.instagram.com/invites/contact/?igsh=18c8tqh22boaq&utm_content=rd6wm9n,"[First Call Distribution India] Singer Sonu Dholpur",hindi,Folk,"Pop Rock",Sad,2025-01-01,Yes,Yes,Yes,Yes,Yes,"Teri mohabbat ki esitesi gangstar song",45,No,INF512500005,8903247557974,FCDI-AU-00001,uploads/cover_photos/01JGD88BY77KDTH8YE4104RK38.jpg,uploads/songs/01JGD88C6WGPREW4QSMBEQM9DT.mp3,Approved
"Naya Sal Me Ragad Dijiye","Naya Sal Me Ragad Dijiye","Chandan Singh",,"Rajkumar Bhojpuriya","Ashish Babu","Rajkumar Bhojpuriya",zestfilmsound,"ZestFilm Sound Private Limited",hindi,Bollywood,"Bollywood Classical",Happy,2024-12-31,Yes,Yes,Yes,No,Yes,"Naya Sal Me Ragad Dijiye",00.00,No,INF512500006,8903247557981,FCDI-AU-00002,uploads/cover_photos/01JGDDMYBX669QQ21YJCN39GSW.jpg,uploads/songs/01JGDDMZEKXJRK241CRET3B563.wav,Approved
"UP62 Jila Jaunpur Zestfilm Sound Pvt Ltd","UP62 Jila Jaunpur ","Ritik Mishra ","Dalveer Kushawah","Shubham Singh","Deepak Varma","Rajnish Raaza",zestfilmsound,"ZestFilm Sound Private Limited",hindi,Bollywood,"Bollywood Classical",Happy,2024-12-31,Yes,Yes,Yes,No,Yes,"Chhota Mota Mafiya, Jilawa Me Hamare Hi Namawa Brand H, Jila Jaunpur Ke Haee, Police Prasashan Se","00:22, 1:15, 1:40, 2:14",No,INF512500007,8903247557998,FCDI-AU-00003,uploads/cover_photos/01JGDRC9SXPHQBSDP6BC4YAVNP.jpg,uploads/songs/01JGDRCA5TMPC8DGQ74ZZ9A7XD.wav,Approved
"Mai Re Mai (Features Artist Kishan Nagina & Riya ) Zestfilm Sound Private Limited ","Mai Re Mai ( Features Artist Kishan Nagina & Riya ) Zestfilm Sound Private Limited ","Sunil Surila","Kishan , Nagina Sonkar , Riya ","Minu Madhosh","Ashish Babu","Rajnish Raaza",zestfilmsound,"ZestFilm Sound Private Limited",hindi,Classical,"Bollywood Classical",Relaxed,2025-01-01,Yes,Yes,Yes,No,Yes,"Babbu Aguaa Ke Dele Bhagai, Mai Re Mai, Sun Chadal Ba Holi Ham Kekara Se boli, Bhale Sapana Me Pari Awat, Bahe Bhaguni Bayar","00:20, 00:46, 1:41, 2:13, 3:10",No,INF512500018,8903247558100,FCDI-AU-00004,uploads/cover_photos/01JGGHGWS8SKMSPY3N95B1GWGH.jpg,uploads/songs/01JGJZQCP42CGSDES0ZJXYXRF2.mp3,Approved
"Janmdin Pawer Star Ke Zestfilm Sound Pvt Ltd ","Janmdin Pawer Star Ke Zestfilm Sound Pvt Ltd ","Vinay Tiwari ",,"Shubham Singh","Deepak Varma","Rajnish Raaza",singer_vnay_tiwari,"ZestFilm Sound Private Limited",hindi,Bollywood,"Bollywood Classical",Happy,2025-01-01,Yes,Yes,Yes,No,Yes,"Cake Katayie Sabake Batai, Sher Ke Sathe, Aara Ke Lal, Bade Special Kahe Na Hoi","0:20, 1:10, 2:17, 2:56",No,INF512500019,8903247558117,FCDI-AU-00005,uploads/cover_photos/01JGGRSACASJVV2T9TPBWKECH0.jpg,uploads/songs/01JGJZG8VA72CYM7MT0ZKXMBT4.wav,Approved
"Satguru Ravidass Dham Boota Mandi","Satguru Ravidass Dham Boota Mandi","Sonu Sunil Rattu","Dalveer Kushawah","Khusvinder Billa UK",KVS,"Rakesh Kumar Canady",https://www.instagram.com/sumitrarecords,"Mtrack Entertainment",punjabi,Devotional,"Bollywood Bhajan",Motivational,2025-01-01,Yes,Yes,Yes,No,Yes,"Suraj Nu fadna Ya Chand Utte Chadhna, Bhar Jehre Bharne Jindgi Ch Rang, Jittan De Nishan Sare, Roj Roj Rattu Kehra Likhe Taarik Nu, Billeya Kyon Daama Doll Kita Aiwen Mann, Dham Utte Jayi","0:48 - 01:12, 01:36 - 02:00, 02:24 - 02:48, 03:12 - 03:36, 04:00 - 04:22, 04:06 - 04:24",No,INF512500030,8903247558223,FCDI-AU-00011,uploads/cover_photos/01JGHG1EC0ND4W4RCKAFAJWHA5.jpg,uploads/songs/01JGK3X6QCH264BAEPDWYDTKMF.wav,Approved
"Bhargo Balam Tere Pive Te Mero","Bhargo Balam Tere Pive Te Mero New Rasiya","Shyamstudio ","MD Uvais Shaikh, Shyamstudio ",Shyamstudio,Shyamstudio,Shyamstudio,https://www.instagram.com/shyamstudio__official?igsh=MWs4ZWthOHV3OWI1ag==,"[Marshal Music Company] Shyam Studio",hindi,Folk,Rajasthani,Romantic,2025-01-02,Yes,Yes,Yes,Yes,Yes,"Bhargo Balam Tere Pive Te Mero New Rasiya",26,No,INF512500031,8903247558230,FCDI-AU-00012,uploads/cover_photos/01JGHXDK9ZF3QFXZM4G0Z1Q4JC.jpg,uploads/songs/01JGKGF0TNBW56F3KJ19YH16GK.wav,Approved
"Banda Jila Me Khilal Hamar Namva Zestfilm Sound Pvt Ltd ","Banda Jila Me Khilal Hamar Namva  Zestfilm Sound Pvt Ltd ","Anil Yadav Raj",,"Jagdish Sharma","Deepak Varma","Rajnish Raaza",anil_yadav_raj,"ZestFilm Sound Private Limited",hindi,Bollywood,"Bollywood Classical",Happy,2025-01-02,Yes,Yes,Yes,No,Yes,"Banda Jila Me Khilal Hamar Namva",00:00,No,INF512500020,8903247558124,FCDI-AU-00006,uploads/cover_photos/01JGJG88PYVED4AFFXK5Q8J31Z.jpg,uploads/songs/01JGJZNCNYMJTZ0FXGXH1F2DRF.wav,Approved
"Raja Shardi lage kap rahi Chhatiya ","Raja shardi lage kap rahi chhatiya ","Singer Dharma Kushwah , Editor Anil kushwah ","Editor Anil kushwah ","Editor Anil kushwah","Editor Anil kushwah","Editor Anil kushwah",https://www.instagram.com/editor_anil_kushwah_8966025974/profilecard/?igsh=MTVkbGZ4eWo3bmdwOA==,"Krishna Jaan Music",hindi,Pop,"Indie Pop",Romantic,2025-01-02,Yes,Yes,Yes,No,Yes,"Raja shardi lage kap rahi chhatiya",00:00:30,No,INF512500032,8903247558247,FCDI-AU-00012,uploads/cover_photos/01JGKZ60833072RFJ9ECWQWYD1.jpg,uploads/songs/01JGKZ60KGT6C2V0HCGVW65E87.wav,Approved
"Gori Tere Lugda Mein Moy Dubaile","Gori Tere Lugda Mein Moy Dubaile","Lokesh Kumar ",,"Hakim Dev Lapawali","Hakim Dev Lapawali","Hakim Dev Lapawali",hakim_dev_lapawali,"Hitesh Music Rasiya",hindi,Pop,"Bollywood Pop",Happy,2025-01-03,Yes,Yes,Yes,Yes,No,,,No,INF512500033,8903247558254,FCDI-AU-00013,uploads/cover_photos/01JGNJ7QV7ASWXJD9ZG9H8EHZC.jpg,uploads/songs/01JGNJ7R0ENK24ZRZ111VVD243.mp3,Approved
